FECHA_HECHO,COD_DEPTO,DEPARTAMENTO,COD_MUNI,MUNICIPIO,CASOS,VICTIMAS
2025/01/13,19,CAUCA,19455,MIRANDA,1,3
2025/01/13,68,SANTANDER,68081,BARRANCABERMEJA,1,3
2025/01/15,54,NORTE DE SANTANDER,54810,TIBU,1,3
2025/01/18,8,ATLANTICO,8634,SABANAGRANDE,1,3
2025/01/18,68,SANTANDER,68081,BARRANCABERMEJA,1,3
2025/01/18,76,VALLE DEL CAUCA,76111,GUADALAJARA DE BUGA,1,3
2025/01/24,5,ANTIOQUIA,5887,YARUMAL,1,5
2025/01/28,44,LA GUAJIRA,44035,ALBANIA,1,3
2025/02/07,13,BOLIVAR,13001,CARTAGENA DE INDIAS,1,3
2025/02/15,76,VALLE DEL CAUCA,76130,CANDELARIA,1,3
2025/02/16,76,VALLE DEL CAUCA,76364,JAMUNDI,1,3
2025/03/09,54,NORTE DE SANTANDER,54498,OCAÑA,1,5
2025/03/11,19,CAUCA,19075,BALBOA,1,5
2025/03/12,11,BOGOTA D.C.,11001,BOGOTA D.C.,1,3
2025/03/12,19,CAUCA,19300,GUACHENE,1,3
2025/03/18,5,ANTIOQUIA,5034,ANDES,1,4
2025/04/19,76,VALLE DEL CAUCA,76834,TULUA,1,3
2025/04/20,13,BOLIVAR,13001,CARTAGENA DE INDIAS,1,3
2025/04/27,95,GUAVIARE,95001,SAN JOSE DEL GUAVIARE,1,7
2025/04/28,50,META,50568,PUERTO GAITAN,1,4
